id,title,body,owner,avatar,banner,url,tw_link,fb_link,li_link,web_link,city,country
11,Uber,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",12,uber_image.png,,Uber,,,,https://www.uber.com/,Brussels,BR
12,Loca Bar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",13,locabarsponsor_image.png,,Loca Bar,,,,http://locabar.cz/,Prague,CZ
13,Puerto Morelos,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",14,puerto-morelos.png,,Puerto Morelos,,,,http://www.puerto-morelos.org/,Worldwise,US
14,Hoffa,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",15,hoffa_image.png,,Hoffa,,,,http://www.hoffa.cz/,Prague,CZ
15,The Boho Chica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",16,The-Boho-Chica-Logo.png,,The Boho Chica,,,,http://thebohochica.com/,Worldwise,US
16,Going Awesome Places,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",17,goingawesomeplaces_image.png,,Going Awesome Places,,,,http://goingawesomeplaces.com/,Toronto,CA
17,WYSE Dublin 2014,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",18,wystc14_image.png,,WYSE Dublin 2014,,,,http://www.wystc.org/,Dublin,IE
18,WYSE Travel Confederation,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",19,wysetravelconfederation_image.png,,WYSE Travel Confederation,,,,http://wysetc.org/,Dunlin,IE
19,TCS,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",20,tcs_image.png,banner2.jpg,TCS,,,,http://www.travelconceptsolution.com/,Cape Town,ZA
20,Waant,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",21,waant_image.png,,Waant,,,,http://www.waant.com.br/,Rio,BR
21,Turkey Tour Advisor,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",22,turkeytour_image.png,,Turkey Tour Advisor,,,,http://www.turkeytouradvisor.com/,Worldwise,US
22,Globals at Work,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",23,logo_v2.png,,Globals at Work,,,,http://globalsatwork.com/,Worldwise,US
23,Flatme,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",24,flatme_image.png,,Flatme,,,,http://flat.me/ru/,Worldwise,US
24,Road Tripping Europe,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",25,roadtripping_logo.jpg,,Road Tripping Europe,,,,http://road-tripping-europe.com/,Worldwise,US
25,Dream Travel Magazine,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",26,dreamTravelMagazine_vertical.png,,Dream Travel Magazine,,,,http://dreamtravelmagazine.com/,Worldwise,US
26,Pailhouse,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",27,pailhouse_logo.jpg,,Pailhouse,,,,http://www.palihousewesthollywood.com/,Los Angeles,US
27,CruiseAbout,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",28,cruiseabout_logo.jpg,,CruiseAbout,,,,http://www.cruiseabout.com.au/,Berlin,DE
28,Wellobox,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",29,wellobox_logo.jpg,,Wellobox,,,,http://wellobox.com/,Hong Kong,HK
29,TripWant,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",30,tripwant_logo.jpg,,TripWant,,,,http://tripwant.com/,Hong Kong,HK
30,JetSet Extra,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",31,jetset_logo.jpg,,JetSet Extra,,,,http://www.jetsetextra.com/,Los Angeles,US
31,Visit Oakland,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",32,visitoakland_logo.jpg,,Visit Oakland,,,,http://visitoakland.org/,San Francisco,US
32,Celebrity Cruises,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",33,celebrity%20curises_logo.jpg,,Celebrity Cruises,,,,http://www.celebritycruises.com/home.do,San Francisco,US
33,Riviera 31 Lounge Bar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",34,la_logo.jpg,,Riviera 31 Lounge Bar,,,,http://www.sofitel.com/gb/hotel-0937-sofitel-los-angeles-at-beverly-hills/bar.shtml,Los Angeles,US
34,Aloha Wave Lounge,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",35,aloha_logo.jpg,,Aloha Wave Lounge,,,,http://www.alohapraha.cz/,Prague,CZ
35,Open Jaw,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",36,openjaw_logo.jpg,,Open Jaw,,,,http://www.openjawtech.com/,Dublin,IE
36,VroomVroomVroom,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",37,vroomvroom_logo.jpg,,VroomVroomVroom,,,,http://www.vroomvroomvroom.com/,San Francisco,US
37,BCD Travel,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",38,bcdtravel_logo.jpg,,BCD Travel,,,,http://www.bcdtravel.com/go/id/bmb/,Worldwise,US
38,I Want That Flight,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",39,Iwanttofythat_logo.jpg,,I Want That Flight,,,,http://iwantthatflight.com.au/,Melbourne,AU
39,Home Away,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",40,homeaway_logo.jpg,,Home Away,,,,http://www.homeaway.com/,Worldwise,US
40,Nor1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",41,nor1_logo.jpg,,Nor1,,,,http://www.nor1.com/,Worldwise,US
41,Zicasso,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",42,zicasso_logo.jpg,,Zicasso,,,,http://www.zicasso.com/,San Francisco,US
42,World Nomads,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aenean vehicula, nibh sed facilisis feugiat, magna purus varius turpis, sodales finibus libero ipsum id ante. Aenean venenatis semper tellus, vel placerat leo laoreet fermentum. Nam porta ligula posuere est consectetur, vel feugiat purus sagittis. Proin accumsan, augue in scelerisque semper, mauris mauris efficitur dui, imperdiet venenatis eros massa vel augue. Nullam vitae elementum neque. Etiam eu rutrum metus. Donec non lectus non velit venenatis pellentesque non id ligula. Praesent mauris nisl, cursus sit amet euismod nec, dictum non quam.",43,header_logo_nomads.gif,,World Nomads,,,,http://www.worldnomads.com,Sydney,AU
